,username,date,tweet,concept,polarity,emotion
3483,AndrewTAviation,2021-11-01 10:32:55,First trip since Covid started !  Let's go !! @ Changi Airport Terminal 1 Gate D46  https://t.co/Na995PDizB,"['let go', 'airport terminal', 'trip', 'covid', 'gate']",NEGATIVE,"['#sadness', '#serenity']"
3482,_rodahidup,2021-11-01 13:59:54,"Singapore 'making progress' on COVID-19 front, but PM Lee warns about potential 'surprises'     https://t.co/RLywzH4F50","['progress', 'covid', 'warns', 'surprises']",NEGATIVE,"['#grief', '#loathing']"
3481,Shuraim_Basir,2021-11-01 22:22:06,My mom just contracted Covid. Wtf.,"['covid', 'wtf']",NEGATIVE,"['#anger', None]"
3480,_rodahidup,2021-11-01 23:05:19,WHO calls for more experts to study Covid-19's disputed origins  https://t.co/5h7quPAsHs,"['study', 'covid', 'disputed', 'origin']",NEGATIVE,"['#grief', '#loathing']"
3479,_rodahidup,2021-11-01 23:21:27,"2,470 new Covid-19 cases in S'pore, 14 deaths; weekly infection growth rate down to 1.05  https://t.co/OurmJosHqq","['down to', 'growth rate', 'new', 'covid', 'pore', 'death', 'weekly', 'infection']",NEGATIVE,"['#sadness', None]"
3478,jerry991953,2021-11-01 23:24:58,"Covid-19 infections in S’pore crosses 200,000 mark as 2,470 new cases reported; 14 more deaths bring tally to 421  https://t.co/oHXVDmZLlT via @TODAYonline","['covid', 'infection', 'pore', 'new', 'report', 'death', 'tally']",NEGATIVE,"['#grief', None]"
3477,_rodahidup,2021-11-02 03:37:10,"About 60 unvaccinated seniors get Covid-19 every day, six likely to end up in ICU  https://t.co/F9eNX8OwXm","[NOT 'vaccine', 'senior', 'covid', 'end']",NEGATIVE,"['#grief', '#loathing']"
3476,_rodahidup,2021-11-02 03:39:02,China grows more isolated as Asia Pacific neighbors start living with Covid-19   https://t.co/DDlFDqnXTp,"['isolated', 'pacify', 'neighbors', 'covid']",NEGATIVE,"['#grief', None]"
3475,_rodahidup,2021-11-02 03:41:50,Romania is seeing record Covid cases. Autopsist says it goes beyond his training   https://t.co/KJxeEZQ8xU,"['see', 'record', 'covid', 'autopsy', 'training']",NEGATIVE,"['#terror', '#loathing']"
3474,KamLarrykam,2021-11-02 08:48:44,Fluvoxamine: a $4 Antidepressant That Reduces COVID 19 Hospitalizations  https://t.co/na62ByCgwq via @YouTube,"['antidepressant', 'reduces', 'covid', 'hospitalization']",NEGATIVE,"['#grief', '#loathing']"
3473,_rodahidup,2021-11-02 11:32:19,White House says 15 million COVID-19 shots will roll out to children by next week     https://t.co/V5NcVm90Wd,"['house', 'covid', 'roll']",NEGATIVE,"['#grief', '#loathing']"
3472,_sugababygirl,2021-11-02 12:19:50,"Deserved! #LifeGoesOn is the song I will be able to relate to, drawing the story of the pandemic. covid or not,  life goes on ~","['relate', 'pandemic', 'covid']",NEGATIVE,"['#grief', '#loathing']"
3471,KamLarrykam,2021-11-02 12:46:21,There is hope for Covid 19.  Fluvoxamine  https://t.co/na62ByCgwq,"['hope', 'covid']",NEGATIVE,"['#sadness', None]"
3470,_rodahidup,2021-11-02 13:50:40,Workload for teachers ‘more than doubled’ during COVID-19 pandemic: Chan Chun Sing     https://t.co/VXrBeztk3G,"['workload', 'teach', 'covid', 'pandemic', 'chan', 'sing']",NEGATIVE,"['#grief', '#loathing']"
3469,HarmanHarison,2021-11-02 13:54:17,Is it now becoming a trend to joke about getting Covid? Is that how we normalize the pandemic?,"['joke', 'covid', 'normalize', 'pandemic']",POSITIVE,"['#eagerness', '#grief']"
