,text,concept
0,"Singaporean family catches Covid-19 during vacation, additional 18 days in South Korea cost them extra $7k  https://t.co/8mIzEsyGRe  https://t.co/En1Khnd5Ud","['family', 'catches', 'covid', 'vacation', 'additional', 'korey', 'cost', 'extra', 'singaporean', 'during', 'south']"
1,China reports 36 new COVID-19 cases among related personnel  https://t.co/DetauqTAXM  https://t.co/2paIlbV8Mp,"['new', 'covid', 'personnel', 'reports', 'related']"
2,Is :Omicron the variant that will end the pandemic?  https://t.co/HebjuwVJNp,"['variant', 'end', 'pandemic', 'micron']"
3,The Big Read: The Covid-19-induced foreigners' exodus — will they return to Singapore and what if they don't?  https://t.co/BcvR4GbJLo  https://t.co/yj3DTIdhhS,"['big', 'covid', 'induced', 'turne']"
4,"Singapore hospitals coping well, prepared for any surge in Covid-19 cases  https://t.co/GviIAWQbYq","['prepared', 'surge', 'covid', 'well']"
5,Canada truckers head for Ottawa to protest COVID-19 vaccine mandate  https://t.co/HJ8eh4tL5i  https://t.co/DBpIf8uBO2,"['trucker', 'head', 'protest', 'covid', 'vaccine', 'mandy', 'canada']"
6,Easier to produce COVID vaccine shows promise in trials: nasal spray vaccine booster works in mice  https://t.co/CmzkMkTJbr  https://t.co/EuuIfrUwWb,"['nasal spray', 'easier', 'covid', 'vaccine', 'showy', 'promise', 'trial', 'booster', 'works', 'SADNESS', 'produce']"
7,US sends 7.4 million COVID-19 vaccine doses to Bangladesh  https://t.co/DGmim4Ifhj  https://t.co/x1gI66BMIP,"['covid', 'vaccine', 'dose', 'million']"
8,"Canada Omicron infections past peak, hospitalisations rising  https://t.co/haPfiYIw9v  https://t.co/zPzJpoezwM","['omicron', 'infection', 'hospital', 'rising', 'canada', 'past']"
9,Five members of Team Canada delegation in COVID-19 protocol  https://t.co/KatZmI8S7x  https://t.co/6HJXgIMnen,"['delegation', 'covid', 'protocol', 'canada']"
10,Brazil health regulator approves COVID-19 self-tests for sale in drugstores  https://t.co/enhaDpE8Zc  https://t.co/ILXlolqH3h,"['health', 'regulator', 'approve', 'covid', 'testy', 'sale', 'drugstore', 'brazil']"
11,"What to know about BA.2, a new and more infectious Omicron subvariant  https://t.co/HmXJuFtwrW","['new', 'infectious', 'omicron', 'more']"
12,Hong Kong government offers hamster reparations in COVID-19 fight  https://t.co/uxKAIdg4QU  https://t.co/DlnSYBlHEP,"['hong', 'govern', 'offers', 'hamster', 'reparation', 'covid', 'fight', 'kong']"
13,"In Italy, COVID wards filled with unvaccinated elderly people as Omicron swept nation  https://t.co/ygZlXTO2NK","['covid', 'ward', 'vaccine', 'elderly', 'omicron', 'nation', 'swept', 'people']"
14,I know this friend: covid vaccinated. boostered. anti lock down. anti censorship. pro freedom. moderate.  Basically a total psychopath... cause he's neither extreme right or left.  https://t.co/sBkHrxmfxS,"['friend', 'covid', 'vaccine', 'booster', 'lock', 'censorship', 'freedom', 'moderate', 'basically', 'tota', 'psychopath', 'cause', 'extreme', 'know']"
