,date,user_id,username,tweet
3483,2021-11-01 10:32:55,858018061,AndrewTAviation,First trip since Covid started !  Let's go !! @ Changi Airport Terminal 1 Gate D46  
3482,2021-11-01 13:59:54,1453990572,_rodahidup,"Singapore 'making progress' on COVID-19 front, but PM Lee warns about potential 'surprises'     "
3481,2021-11-01 22:22:06,257862528,Shuraim_Basir,My mom just contracted Covid. Wtf.
3480,2021-11-01 23:05:19,1453990572,_rodahidup,WHO calls for more experts to study Covid-19's disputed origins  
3479,2021-11-01 23:21:27,1453990572,_rodahidup,"2,470 new Covid-19 cases in S'pore, 14 deaths; weekly infection growth rate down to 1.05  "
3478,2021-11-01 23:24:58,1162029774,jerry991953,"Covid-19 infections in S’pore crosses 200,000 mark as 2,470 new cases reported; 14 more deaths bring tally to 421   via "
3477,2021-11-02 03:37:10,1453990572,_rodahidup,"About 60 unvaccinated seniors get Covid-19 every day, six likely to end up in ICU  "
3476,2021-11-02 03:39:02,1453990572,_rodahidup,China grows more isolated as Asia Pacific neighbors start living with Covid-19   
3475,2021-11-02 03:41:50,1453990572,_rodahidup,Romania is seeing record Covid cases. Autopsist says it goes beyond his training   
3474,2021-11-02 08:48:44,2384753587,KamLarrykam,Fluvoxamine: a $4 Antidepressant That Reduces COVID 19 Hospitalizations   via 
3473,2021-11-02 11:32:19,1453990572,_rodahidup,White House says 15 million COVID-19 shots will roll out to children by next week     
3472,2021-11-02 12:19:50,127952403,_sugababygirl,"Deserved! #LifeGoesOn is the song I will be able to relate to, drawing the story of the pandemic. covid or not,  life goes on ~"
3471,2021-11-02 12:46:21,2384753587,KamLarrykam,There is hope for Covid 19.  Fluvoxamine  
3470,2021-11-02 13:50:40,1453990572,_rodahidup,Workload for teachers ‘more than doubled’ during COVID-19 pandemic: Chan Chun Sing     
3469,2021-11-02 13:54:17,320647085,HarmanHarison,Is it now becoming a trend to joke about getting Covid? Is that how we normalize the pandemic?
3468,2021-11-03 00:00:55,3275109546,SyahidsaHoarder,One thing I learnt from catching Covid is that the balls get warmer and so does the piss
3467,2021-11-03 04:18:32,1453990572,_rodahidup,99-year-old had Covid-19 but family kept him at home until his death according to his wishes  
3466,2021-11-03 04:19:41,1453990572,_rodahidup,"S'pore could see 2,000 Covid-19 deaths yearly; Govt using vaccines, boosters to stem spread: Janil  "
3465,2021-11-03 09:10:52,190919109,freddjohns,"  People voted for ‘not Trump’, not Joe Biden and his ‘progressive platform’. Could have been a man in a monkey suit and people would have voted for him. People did not vote for: cut-and-run in afghanistan, no covid plan."
3464,2021-11-03 13:04:35,3059605477,Tringapore_98,Fuck my ward has a covid case. And I'm having a fever. Looks like I ain't going home today....
3463,2021-11-03 19:04:24,60307832,iekmayo,does anyone else find it super weird that cafes and restaurants don’t play ANY music at all now (no thanks to covid)
3462,2021-11-03 19:43:08,87825258,Umeshbkk,My 1st 7 km after Covid-19 infection. 12 days after infection. Means my lungs were not impacted. วิว7 กิโลเมตร หลังจากติดโควิดมาเพียง12 วัน ดีใจที่ปอดผมไม่โดนกระทบครับ 😜. @ Marina Bay Cruise Centre Singapore  
3461,2021-11-03 23:50:24,1453990572,_rodahidup,"Hong Kong's Covid-19 contact tracing app not the most important tool, say experts  "
3460,2021-11-03 23:52:13,1453990572,_rodahidup,Recovered Covid-19 patients in Hong Kong must now serve 14-day quarantine  
3459,2021-11-04 00:03:50,19785811,dwallbank,Update: Singapore hit its case reduction target that was a stated condition for slightly easing Covid curbs.
3458,2021-11-04 00:12:45,1453990572,_rodahidup,"S'pore reports 3,635 new Covid-19 cases; weekly infection growth rate down to 0.96  "
3457,2021-11-04 03:46:02,1453990572,_rodahidup,Fact Check-Merck’s experimental COVID-19 antiviral drug is not ‘repackaged ivermectin’ | Article [AMP] | Reuters  
3456,2021-11-04 21:33:37,832309585,waimae23,"COVID-19 crisis impact: More gender equality in the workplace could come for women in the workplace of the future, despite the impact of the pandemic on their personal and professional lives   via "
3455,2021-11-05 03:48:06,1453990572,_rodahidup,"Singapore reports 3,003 new COVID-19 cases, 17 more deaths     "
3454,2021-11-05 16:12:00,1453990572,_rodahidup,Commentary: Why people have volunteered for COVID-19 vaccine trials – even in Singapore     
3453,2021-11-05 16:38:39,802017950051934208,yienchong_chen,  Long time never fly due to COVID. Must start practice again
3452,2021-11-05 19:53:33,1453990572,_rodahidup,"Public healthcare workers to get up to S$4,000 cash award for efforts in fight against COVID-19     "
3451,2021-11-05 20:21:05,1453990572,_rodahidup, Singapore gov't gave Public Healthcare workers S$4k cash award for role against Covid-19.     
3450,2021-11-05 21:38:33,1453990572,_rodahidup,Pfizer says antiviral pill cuts risk of severe COVID-19 by 89%     
3449,2021-11-06 17:22:12,1077860483351203840,pianzyyy,"whatever event singapore is having that attracts hundreds of people, i ain’t going. covid-19 is calling"
3448,2021-11-06 18:31:48,1453990572,_rodahidup,COVID-19 treatment facility at F1 Pit Building to accept patients from Nov 9     
3447,2021-11-06 20:24:17,1298904942,azwanyyyyy,Man the worst thing about having covid is the loss of taste
3446,2021-11-06 21:17:03,29941998,honorharger,"For those of us in Singapore, I recommend this article by  Teo Yik Ying from NUS &amp; Vernon Lee of the Communicable Diseases Division at MOH. It puts the fatalities from Covid-19 in context, comparing them with fatalities from other respiratory diseases.  "
3445,2021-11-06 21:19:10,117599242,boyshawn89,Haiz... Not that I wanna purposely report. But I can see everyone already hanging out in big group now. I guess the covid restriction is wearing people already. 😩
3444,2021-11-07 03:01:27,1453990572,_rodahidup,South Korea launches panel to debate 'living with COVID-19'  
3443,2021-11-07 03:02:08,1453990572,_rodahidup,South Korea loosens restrictions in step toward 'living with Covid-19'  
3442,2021-11-07 03:31:23,1453990572,_rodahidup,Why South Korea Covid-19 is low?  
